iso3c,country,variablename,dimension,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AGO,Angola,Education,Economic,,,,,,,,,0.498,
AGO,Angola,Environmental performance,Environmental,,,,,,,,,37.44,
AGO,Angola,Food insecurity,Economic,,,,,,,,,6.3,
AGO,Angola,Food insecurity,Environmental,,,,,,,,,6.3,
AGO,Angola,Formal alliances,Security,,,,,,,8,,,
AGO,Angola,GDP growth,Economic,,,,,,,,,-5.28777959390334,
AGO,Angola,Gender discrimination,Security,,,,,,,,19,,
AGO,Angola,Gender inequality,Societal,,,,,,,,,0.578,
AGO,Angola,GINI,Societal,,,,,,,,46.5,,
AGO,Angola,Government effectiveness,Environmental,,,,,,,,,-1.052086,
AGO,Angola,Government effectiveness,Political,,,,,,,,,-1.052086,
AGO,Angola,Homicide rate,Security,,,4.8,,,,,,,
AGO,Angola,Horizontal inequality,Societal,,,,,,,,,0.15,
AGO,Angola,Impact of terrorism,Security,,,,,,,,,3.784,
AGO,Angola,Infectious diseases,Environmental,,,,,,,,268.00709729955,,
AGO,Angola,Judicial constraints,Political,,,,,,,,,0.497,
AGO,Angola,Legislative constraints,Political,,,,,,,,,0.242,
AGO,Angola,NEET,Economic,,,,,2.56,,,,,
AGO,Angola,Non-state and one-sided violence,Security,,,,,,,,,0,
AGO,Angola,Physical integrity,Political,,,,,,,,,0.542,
AGO,Angola,Police officers,Security,,,,,,,,,,2.5
AGO,Angola,Regional government independence,Political,,,,,,,,,0,
AGO,Angola,Regulatory quality,Economic,,,,,,,,,-0.999813,
AGO,Angola,Remoteness,Economic,,,,,,,58.8874359130859,,,
AGO,Angola,Resource dependence,Economic,,,,,,,,16.3501200133472,,
AGO,Angola,Rule of law,Environmental,,,,,,,,,-1.048023,
AGO,Angola,Rule of law,Security,,,,,,,,,-1.048023,
AGO,Angola,Share of women in labour force,Economic,,,,,,,,,,94.2279602736201
AGO,Angola,Socio-economic vulnerability,Economic,,,,,,,,,5.1,
AGO,Angola,Socio-economic vulnerability,Environmental,,,,,,,,,5.1,
AGO,Angola,Stability,Political,,,,,,,,,-0.3190349,
AGO,Angola,Strength of civil society,Environmental,,,,,,,,,0.59,
AGO,Angola,Strength of civil society,Societal,,,,,,,,,0.59,
AGO,Angola,Unemployment rate,Economic,,,,,,,,,7.25299978256226,
AGO,Angola,Uprooted people,Societal,,,,,,,,,5.1,
AGO,Angola,Urbanisation,Environmental,,,,,,,,,4.31179134171658,
AGO,Angola,Urbanisation,Societal,,,,,,,,,4.31179134171658,
AGO,Angola,Violent crime,Security,,,,,,,1.33333333333333,,,
AGO,Angola,Voice and accountability,Political,,,,,,,,,-0.9195936,
AGO,Angola,Voice and accountability,Societal,,,,,,,,,-0.9195936,
AGO,Angola,Women in parliament,Political,,,,,,,,,30.5,
ALB,Albania,Access to justice,Societal,,,,,,,,,0.876,
ALB,Albania,Aid dependency,Economic,,,,,,,,,1.8,
ALB,Albania,Armed security officers,Security,,,,,,,,,,1.414
ALB,Albania,Battle-related deaths,Security,,,,,,,,,0,
ALB,Albania,Clientelism,Political,,,,,,,,,0.79,
ALB,Albania,Conflict risk,Security,,,,,,,,,0.1,
ALB,Albania,Control over territory,Security,,,,,,,,,94.2,
ALB,Albania,Corruption,Political,,,,,,,,,36,
ALB,Albania,Debt,Economic,,,,,,,,,69.916,
ALB,Albania,Disaster risk,Environmental,,,,,,,,,6.4,
ALB,Albania,Education,Economic,,,,,,,,,0.758,
ALB,Albania,Environmental performance,Environmental,,,,,,,,,65.46,
ALB,Albania,Food insecurity,Economic,,,,,,,,,1.8,
ALB,Albania,Food insecurity,Environmental,,,,,,,,,1.8,
ALB,Albania,Formal alliances,Security,,,,,,,7,,,
ALB,Albania,GDP growth,Economic,,,,,,,,,4.26134228002314,
ALB,Albania,Gender discrimination,Security,,,,,,,,16.4,,
ALB,Albania,Gender inequality,Societal,,,,,,,,,0.234,
ALB,Albania,GINI,Societal,,,,,,,,28.9599990844727,,
ALB,Albania,Government effectiveness,Environmental,,,,,,,,,0.114788,
ALB,Albania,Government effectiveness,Political,,,,,,,,,0.114788,
ALB,Albania,Homicide rate,Security,,,,,,,,2.3,,
ALB,Albania,Horizontal inequality,Societal,,,,,,,,,1.899,
ALB,Albania,Impact of terrorism,Security,,,,,,,,,0.42,
ALB,Albania,Infectious diseases,Environmental,,,,,,,,16.9797274325189,,
ALB,Albania,Judicial constraints,Political,,,,,,,,,0.747,
ALB,Albania,Legislative constraints,Political,,,,,,,,,0.86,
ALB,Albania,NEET,Economic,,,,,,32.8,,,,
ALB,Albania,Non-state and one-sided violence,Security,,,,,,,,,0,
ALB,Albania,Physical integrity,Political,,,,,,,,,0.945,
ALB,Albania,Police officers,Security,,,,,,,,,,2.682
ALB,Albania,Regional government independence,Political,,,,,,,,,0.935,
ALB,Albania,Regulatory quality,Economic,,,,,,,,,0.2817102,
ALB,Albania,Resource dependence,Economic,,,,,,,,1.69885922170872,,
ALB,Albania,Rule of law,Environmental,,,,,,,,,-0.392243,
ALB,Albania,Rule of law,Security,,,,,,,,,-0.392243,
ALB,Albania,Share of women in labour force,Economic,,,,,,,,,,72.7097264648987
ALB,Albania,Socio-economic vulnerability,Economic,,,,,,,,,2.2,
ALB,Albania,Socio-economic vulnerability,Environmental,,,,,,,,,2.2,
ALB,Albania,Stability,Political,,,,,,,,,0.3821,
ALB,Albania,Strength of civil society,Environmental,,,,,,,,,0.831,
ALB,Albania,Strength of civil society,Societal,,,,,,,,,0.831,
ALB,Albania,Unemployment rate,Economic,,,,,,,,,13.8979997634888,
ALB,Albania,Uprooted people,Societal,,,,,,,,,0.9,
ALB,Albania,Urbanisation,Environmental,,,,,,,,,1.31716210445698,
ALB,Albania,Urbanisation,Societal,,,,,,,,,1.31716210445698,
ALB,Albania,Violent crime,Security,,,,,,,2,,,
ALB,Albania,Voice and accountability,Political,,,,,,,,,0.2063695,
ALB,Albania,Voice and accountability,Societal,,,,,,,,,0.2063695,
ALB,Albania,Women in parliament,Political,,,,,,,,,27.9,
ARE,United Arab Emirates,Access to justice,Societal,,,,,,,,,0.468,
ARE,United Arab Emirates,Aid dependency,Economic,,,,,,,,,0,
ARE,United Arab Emirates,Armed security officers,Security,,,,,,,,,,2.004
ARE,United Arab Emirates,Battle-related deaths,Security,,,,,,,,,0,
ARE,United Arab Emirates,Clientelism,Political,,,,,,,,,0.392,
ARE,United Arab Emirates,Conflict risk,Security,,,,,,,,,0.1,
ARE,United Arab Emirates,Control over territory,Security,,,,,,,,,93.75,
ARE,United Arab Emirates,Corruption,Political,,,,,,,,,70,
ARE,United Arab Emirates,Debt,Economic,,,,,,,,20.001,,
ARE,United Arab Emirates,Disaster risk,Environmental,,,,,,,,,4.1,
ARE,United Arab Emirates,Education,Economic,,,,,,,,,0.744,
ARE,United Arab Emirates,Environmental performance,Environmental,,,,,,,,,58.9,
ARE,United Arab Emirates,Food insecurity,Economic,,,,,,,,,1.5,
ARE,United Arab Emirates,Food insecurity,Environmental,,,,,,,,,1.5,
ARE,United Arab Emirates,Formal alliances,Security,,,,,,,3,,,
ARE,United Arab Emirates,GDP growth,Economic,,,,,,,,,-0.0900572263244328,
ARE,United Arab Emirates,Gender inequality,Societal,,,,,,,,,0.113,
ARE,United Arab Emirates,Government effectiveness,Environmental,,,,,,,,,1.431291,
ARE,United Arab Emirates,Government effectiveness,Political,,,,,,,,,1.431291,
ARE,United Arab Emirates,Homicide rate,Security,,,,,,,,0.5,,
ARE,United Arab Emirates,Horizontal inequality,Societal,,,,,,,,,-0.882,
ARE,United Arab Emirates,Impact of terrorism,Security,,,,,,,,,0.048,
ARE,United Arab Emirates,Infectious diseases,Environmental,,,,,,,,13.6957871220871,,
ARE,United Arab Emirates,Judicial constraints,Political,,,,,,,,,0.228,
ARE,United Arab Emirates,Legislative constraints,Political,,,,,,,,,0.194,
ARE,United Arab Emirates,NEET,Economic,,,,,,,,11.31,,
ARE,United Arab Emirates,Non-state and one-sided violence,Security,,,,,,,,,0,
ARE,United Arab Emirates,Physical integrity,Political,,,,,,,,,0.71,
ARE,United Arab Emirates,Police officers,Security,,,,,,,,,,3.25
ARE,United Arab Emirates,Regional government independence,Political,,,,,,,,,0,
ARE,United Arab Emirates,Regulatory quality,Economic,,,,,,,,,0.9316171,
ARE,United Arab Emirates,Remoteness,Economic,,,,,,,29.6413230895996,,,
ARE,United Arab Emirates,Resource dependence,Economic,,,,,,,,13.6887359220849,,
ARE,United Arab Emirates,Rule of law,Environmental,,,,,,,,,0.8064476,
ARE,United Arab Emirates,Rule of law,Security,,,,,,,,,0.8064476,
ARE,United Arab Emirates,Share of women in labour force,Economic,,,,,,,,,,54.6709092487707
ARE,United Arab Emirates,Socio-economic vulnerability,Economic,,,,,,,,,1.1,
ARE,United Arab Emirates,Socio-economic vulnerability,Environmental,,,,,,,,,1.1,
ARE,United Arab Emirates,Stability,Political,,,,,,,,,0.7432382,
ARE,United Arab Emirates,Strength of civil society,Environmental,,,,,,,,,0.373,
ARE,United Arab Emirates,Strength of civil society,Societal,,,,,,,,,0.373,
ARE,United Arab Emirates,Unemployment rate,Economic,,,,,,,,,2.57500004768372,
ARE,United Arab Emirates,Uprooted people,Societal,,,,,,,,,3,
ARE,United Arab Emirates,Urbanisation,Environmental,,,,,,,,,1.82107565694154,
ARE,United Arab Emirates,Urbanisation,Societal,,,,,,,,,1.82107565694154,
ARE,United Arab Emirates,Violent crime,Security,,,,,,,1,,,
ARE,United Arab Emirates,Voice and accountability,Political,,,,,,,,,-1.109334,
ARE,United Arab Emirates,Voice and accountability,Societal,,,,,,,,,-1.109334,
ARE,United Arab Emirates,Women in parliament,Political,,,,,,,,,22.5,
ARG,Argentina,Access to justice,Societal,,,,,,,,,0.886,
ARG,Argentina,Aid dependency,Economic,,,,,,,,,0,
ARG,Argentina,Armed security officers,Security,,,,,,,,,,1.252
ARG,Argentina,Battle-related deaths,Security,,,,,,,,,0,
ARG,Argentina,Clientelism,Political,,,,,,,,,0.459,
ARG,Argentina,Conflict risk,Security,,,,,,,,,1.5,
ARG,Argentina,Control over territory,Security,,,,,,,,,97.667,
ARG,Argentina,Corruption,Political,,,,,,,,,40,
ARG,Argentina,Debt,Economic,,,,,,,,,86.058,
ARG,Argentina,Disaster risk,Environmental,,,,,,,,,3.9,
ARG,Argentina,Education,Economic,,,,,,,,,0.842,
ARG,Argentina,Environmental performance,Environmental,,,,,,,,,59.3,
ARG,Argentina,Food insecurity,Economic,,,,,,,,,1.1,
ARG,Argentina,Food insecurity,Environmental,,,,,,,,,1.1,
ARG,Argentina,Formal alliances,Security,,,,,,,3,,,
ARG,Argentina,GDP growth,Economic,,,,,,,,,-3.49984193067345,
ARG,Argentina,Gender inequality,Societal,,,,,,,,,0.354,
ARG,Argentina,GINI,Societal,,,,,,,,41.7999992370605,,
ARG,Argentina,Government effectiveness,Environmental,,,,,,,,,0.0259878,
ARG,Argentina,Government effectiveness,Political,,,,,,,,,0.0259878,
ARG,Argentina,Homicide rate,Security,,,,,,,,5.1,,
ARG,Argentina,Horizontal inequality,Societal,,,,,,,,,0.689,
ARG,Argentina,Impact of terrorism,Security,,,,,,,,,1.68,
ARG,Argentina,Infectious diseases,Environmental,,,,,,,,82.6229100289531,,
ARG,Argentina,Judicial constraints,Political,,,,,,,,,0.827,
ARG,Argentina,Legislative constraints,Political,,,,,,,,,0.776,
ARG,Argentina,NEET,Economic,,,,,,,,,19.02,
ARG,Argentina,Non-state and one-sided violence,Security,,,,,,,,,0,
ARG,Argentina,Physical integrity,Political,,,,,,,,,0.867,
ARG,Argentina,Police officers,Security,,,,,,,,,,5
ARG,Argentina,Regional government independence,Political,,,,,,,,,0.936,
ARG,Argentina,Regulatory quality,Economic,,,,,,,,,-0.2430697,
ARG,Argentina,Remoteness,Economic,,,,,,,87.1534881591797,,,
ARG,Argentina,Resource dependence,Economic,,,,,,,,1.32281274795408,,
ARG,Argentina,Rule of law,Environmental,,,,,,,,,-0.2400078,
ARG,Argentina,Rule of law,Security,,,,,,,,,-0.2400078,
ARG,Argentina,Share of women in labour force,Economic,,,,,,,,,,67.1545862064658
ARG,Argentina,Socio-economic vulnerability,Economic,,,,,,,,,1.9,
ARG,Argentina,Socio-economic vulnerability,Environmental,,,,,,,,,1.9,
ARG,Argentina,Stability,Political,,,,,,,,,0.0199319,
ARG,Argentina,Strength of civil society,Environmental,,,,,,,,,0.916,
ARG,Argentina,Strength of civil society,Societal,,,,,,,,,0.916,
ARG,Argentina,Unemployment rate,Economic,,,,,,,,,9.48299980163574,
ARG,Argentina,Uprooted people,Societal,,,,,,,,,2.8,
ARG,Argentina,Urbanisation,Environmental,,,,,,,,,1.14760215897919,
ARG,Argentina,Urbanisation,Societal,,,,,,,,,1.14760215897919,
ARG,Argentina,Violent crime,Security,,,,,,,1.66666666666667,,,
ARG,Argentina,Voice and accountability,Political,,,,,,,,,0.5653015,
ARG,Argentina,Voice and accountability,Societal,,,,,,,,,0.5653015,
ARG,Argentina,Women in parliament,Political,,,,,,,,,38.9,
ARM,Armenia,Access to justice,Societal,,,,,,,,,0.707,
ARM,Armenia,Aid dependency,Economic,,,,,,,,,2.5,
ARM,Armenia,Armed security officers,Security,,,,,,,,,,3.332
ARM,Armenia,Battle-related deaths,Security,,,,,,,,,0.0333170372689802,
ARM,Armenia,Clientelism,Political,,,,,,,,,0.624,
ARM,Armenia,Conflict risk,Security,,,,,,,,,3.1,
ARM,Armenia,Control over territory,Security,,,,,,,,,99.857,
ARM,Armenia,Corruption,Political,,,,,,,,,35,
ARM,Armenia,Debt,Economic,,,,,,,,,51.325,
ARM,Armenia,Disaster risk,Environmental,,,,,,,,,4.4,
ARM,Armenia,Education,Economic,,,,,,,,,0.759,
ARM,Armenia,Environmental performance,Environmental,,,,,,,,,62.07,
ARM,Armenia,Food insecurity,Economic,,,,,,,,,2,
ARM,Armenia,Food insecurity,Environmental,,,,,,,,,2,
ARM,Armenia,Formal alliances,Security,,,,,,,13,,,
ARM,Armenia,GDP growth,Economic,,,,,,,,,4.95169918042562,
ARM,Armenia,Gender discrimination,Security,,,,,,,,34.5,,
ARM,Armenia,Gender inequality,Societal,,,,,,,,,0.259,
ARM,Armenia,GINI,Societal,,,,,,,,31.4799995422363,,
ARM,Armenia,Government effectiveness,Environmental,,,,,,,,,-0.0243394,
ARM,Armenia,Government effectiveness,Political,,,,,,,,,-0.0243394,
ARM,Armenia,Homicide rate,Security,,,,,,,,2.4,,
ARM,Armenia,Horizontal inequality,Societal,,,,,,,,,1.981,
ARM,Armenia,Impact of terrorism,Security,,,,,,,,,1.173,
ARM,Armenia,Infectious diseases,Environmental,,,,,,,,22.2873847546605,,
ARM,Armenia,Judicial constraints,Political,,,,,,,,,0.307,
ARM,Armenia,Legislative constraints,Political,,,,,,,,,0.824,
ARM,Armenia,NEET,Economic,,,,,,,,36.59,,
ARM,Armenia,Non-state and one-sided violence,Security,,,,,,,,,0,
ARM,Armenia,Physical integrity,Political,,,,,,,,,0.89,
ARM,Armenia,Police officers,Security,,,,,,,,,,2.5
ARM,Armenia,Regional government independence,Political,,,,,,,,,0.419,
ARM,Armenia,Regulatory quality,Economic,,,,,,,,,0.2692558,
ARM,Armenia,Remoteness,Economic,,,,,,,22.9191112518311,,,
ARM,Armenia,Resource dependence,Economic,,,,,,,,5.81562091263857,,
ARM,Armenia,Rule of law,Environmental,,,,,,,,,-0.1500262,
ARM,Armenia,Rule of law,Security,,,,,,,,,-0.1500262,
ARM,Armenia,Share of women in labour force,Economic,,,,,,,,,,71.0318600211409
ARM,Armenia,Socio-economic vulnerability,Economic,,,,,,,,,2.1,
ARM,Armenia,Socio-economic vulnerability,Environmental,,,,,,,,,2.1,
ARM,Armenia,Stability,Political,,,,,,,,,-0.4187803,
ARM,Armenia,Strength of civil society,Environmental,,,,,,,,,0.831,
ARM,Armenia,Strength of civil society,Societal,,,,,,,,,0.831,
ARM,Armenia,Unemployment rate,Economic,,,,,,,,,17.7119998931885,
ARM,Armenia,Uprooted people,Societal,,,,,,,,,4.6,
ARM,Armenia,Urbanisation,Environmental,,,,,,,,,0.309165596528027,
ARM,Armenia,Urbanisation,Societal,,,,,,,,,0.309165596528027,
ARM,Armenia,Violent crime,Security,,,,,,,1.66666666666667,,,
ARM,Armenia,Voice and accountability,Political,,,,,,,,,-0.1134583,
ARM,Armenia,Voice and accountability,Societal,,,,,,,,,-0.1134583,
ARM,Armenia,Women in parliament,Political,,,,,,,,,18.1,
AUS,Australia,Access to justice,Societal,,,,,,,,,0.969,
AUS,Australia,Aid dependency,Economic,,,,,,,,,0,
AUS,Australia,Armed security officers,Security,,,,,,,,,,1.356
AUS,Australia,Battle-related deaths,Security,,,,,,,,,0.00400831828699891,
AUS,Australia,Clientelism,Political,,,,,,,,,0.059,
AUS,Australia,Conflict risk,Security,,,,,,,,,0.1,
AUS,Australia,Control over territory,Security,,,,,,,,,99.375,
AUS,Australia,Corruption,Political,,,,,,,,,77,
AUS,Australia,Debt,Economic,,,,,,,,,41.369,
AUS,Australia,Disaster risk,Environmental,,,,,,,,,4.9,
AUS,Australia,Education,Economic,,,,,,,,,0.923,
AUS,Australia,Environmental performance,Environmental,,,,,,,,,74.12,
AUS,Australia,Food insecurity,Economic,,,,,,,,,1.2,
AUS,Australia,Food insecurity,Environmental,,,,,,,,,1.2,
AUS,Australia,Formal alliances,Security,,,,,,,5,,,
AUS,Australia,GDP growth,Economic,,,,,,,,,1.22813876005694,
AUS,Australia,Gender discrimination,Security,,,,,,,,12.9,,
AUS,Australia,Gender inequality,Societal,,,,,,,,,0.103,
AUS,Australia,GINI,Societal,,,,,,,,38.9500007629395,,
AUS,Australia,Government effectiveness,Environmental,,,,,,,,,1.596495,
AUS,Australia,Government effectiveness,Political,,,,,,,,,1.596495,
AUS,Australia,Homicide rate,Security,,,,,,,,0.8,,
AUS,Australia,Horizontal inequality,Societal,,,,,,,,,1.265,
AUS,Australia,Impact of terrorism,Security,,,,,,,,,2.645,
AUS,Australia,Infectious diseases,Environmental,,,,,,,,21.5330954796237,,
AUS,Australia,Judicial constraints,Political,,,,,,,,,0.983,
AUS,Australia,Legislative constraints,Political,,,,,,,,,0.951,
AUS,Australia,NEET,Economic,,,,,,,,8.94,,
AUS,Australia,Non-state and one-sided violence,Security,,,,,,,,,0.00133878744628651,
AUS,Australia,Physical integrity,Political,,,,,,,,,0.926,
AUS,Australia,Police officers,Security,,,,,,,,,,2.318
AUS,Australia,Regional government independence,Political,,,,,,,,,0.987,
AUS,Australia,Regulatory quality,Economic,,,,,,,,,1.929283,
AUS,Australia,Remoteness,Economic,,,,,,,0,,,
AUS,Australia,Resource dependence,Economic,,,,,,,,7.20768931960898,,
AUS,Australia,Rule of law,Environmental,,,,,,,,,1.715279,
AUS,Australia,Rule of law,Security,,,,,,,,,1.715279,
AUS,Australia,Share of women in labour force,Economic,,,,,,,,,,84.7064689350244
AUS,Australia,Socio-economic vulnerability,Economic,,,,,,,,,0.5,
AUS,Australia,Socio-economic vulnerability,Environmental,,,,,,,,,0.5,
AUS,Australia,Stability,Political,,,,,,,,,0.9765741,
AUS,Australia,Strength of civil society,Environmental,,,,,,,,,0.929,
AUS,Australia,Strength of civil society,Societal,,,,,,,,,0.929,
AUS,Australia,Unemployment rate,Economic,,,,,,,,,5.38700008392334,
AUS,Australia,Uprooted people,Societal,,,,,,,,,5.8,
AUS,Australia,Urbanisation,Environmental,,,,,,,,,1.70048876404874,
AUS,Australia,Urbanisation,Societal,,,,,,,,,1.70048876404874,
AUS,Australia,Violent crime,Security,,,,,,,0.333333333333333,,,
AUS,Australia,Voice and accountability,Political,,,,,,,,,1.428148,
AUS,Australia,Voice and accountability,Societal,,,,,,,,,1.428148,
AUS,Australia,Women in parliament,Political,,,,,,,,,28.7,
AUT,Austria,Access to justice,Societal,,,,,,,,,0.926,
AUT,Austria,Aid dependency,Economic,,,,,,,,,0.1,
AUT,Austria,Armed security officers,Security,,,,,,,,,,1.365
AUT,Austria,Battle-related deaths,Security,,,,,,,,,0,
AUT,Austria,Clientelism,Political,,,,,,,,,0.097,
AUT,Austria,Conflict risk,Security,,,,,,,,,0,
AUT,Austria,Control over territory,Security,,,,,,,,,100,
AUT,Austria,Corruption,Political,,,,,,,,,76,
AUT,Austria,Debt,Economic,,,,,,,,,73.754,
AUT,Austria,Disaster risk,Environmental,,,,,,,,,2.3,
AUT,Austria,Education,Economic,,,,,,,,,0.871,
AUT,Austria,Environmental performance,Environmental,,,,,,,,,78.97,
AUT,Austria,Food insecurity,Economic,,,,,,,,,0.2,
AUT,Austria,Food insecurity,Environmental,,,,,,,,,0.2,
AUT,Austria,Formal alliances,Security,,,,,,,2,,,
AUT,Austria,GDP growth,Economic,,,,,,,,,2.1546410038393,
AUT,Austria,Gender discrimination,Security,,,,,,,,7.7,,
AUT,Austria,Gender inequality,Societal,,,,,,,,,0.073,
AUT,Austria,GINI,Societal,,,,,,,,27.2000007629395,,
AUT,Austria,Government effectiveness,Environmental,,,,,,,,,1.453342,
AUT,Austria,Government effectiveness,Political,,,,,,,,,1.453342,
AUT,Austria,Homicide rate,Security,,,,,,,0.7,,,
AUT,Austria,Horizontal inequality,Societal,,,,,,,,,2.528,
AUT,Austria,Impact of terrorism,Security,,,,,,,,,1.655,
AUT,Austria,Infectious diseases,Environmental,,,,,,,,14.504705223556,,
AUT,Austria,Judicial constraints,Political,,,,,,,,,0.908,
AUT,Austria,Legislative constraints,Political,,,,,,,,,0.896,
AUT,Austria,NEET,Economic,,,,,,,,,6.83,
AUT,Austria,Non-state and one-sided violence,Security,,,,,,,,,0,
AUT,Austria,Physical integrity,Political,,,,,,,,,0.929,
AUT,Austria,Police officers,Security,,,,,,,,,,2.636
AUT,Austria,Regional government independence,Political,,,,,,,,,0.985,
AUT,Austria,Regulatory quality,Economic,,,,,,,,,1.544717,
AUT,Austria,Remoteness,Economic,,,,,,,0,,,
AUT,Austria,Resource dependence,Economic,,,,,,,,0.139470140499318,,
AUT,Austria,Rule of law,Environmental,,,,,,,,,1.875834,
AUT,Austria,Rule of law,Security,,,,,,,,,1.875834,
AUT,Austria,Share of women in labour force,Economic,,,,,,,,,,83.3932430445756
AUT,Austria,Socio-economic vulnerability,Economic,,,,,,,,,0.3,
AUT,Austria,Socio-economic vulnerability,Environmental,,,,,,,,,0.3,
AUT,Austria,Stability,Political,,,,,,,,,0.9175232,
AUT,Austria,Strength of civil society,Environmental,,,,,,,,,0.813,
AUT,Austria,Strength of civil society,Societal,,,,,,,,,0.813,
AUT,Austria,Unemployment rate,Economic,,,,,,,,,4.78599977493286,
AUT,Austria,Uprooted people,Societal,,,,,,,,,7,
AUT,Austria,Urbanisation,Environmental,,,,,,,,,0.90957215809093,
AUT,Austria,Urbanisation,Societal,,,,,,,,,0.90957215809093,
AUT,Austria,Violent crime,Security,,,,,,,0,,,
AUT,Austria,Voice and accountability,Political,,,,,,,,,1.380672,
AUT,Austria,Voice and accountability,Societal,,,,,,,,,1.380672,
AUT,Austria,Women in parliament,Political,,,,,,,,,34.4,
AZE,Azerbaijan,Access to justice,Societal,,,,,,,,,0.305,
AZE,Azerbaijan,Aid dependency,Economic,,,,,,,,,0.5,
AZE,Azerbaijan,Armed security officers,Security,,,,,,,,,,2.026
AZE,Azerbaijan,Battle-related deaths,Security,,,,,,,,,0.149119332159721,
AZE,Azerbaijan,Clientelism,Political,,,,,,,,,0.733,
